OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
5170;Tinto Lounge;344-346 Gloucester Road, Horfield, Bristol;BS7 8TP;Bishopston & Ashley Down;Monday-Friday 8am-11pm, Saturday and Sunday 9am-11pm;;;;;0;NONE;;;;;;;;;;"{""coordinates"": [-2.5874469645980946, 51.48301460387944], ""type"": ""Point""}";51.48301460387944, -2.5874469645980946
3505;Cabot Circus Shopping Centre, Lower ground floor;Glass House, Broadmead;BS1 3BX;Central;Monday-Saturday 09:00-20:15, Sunday 09:00-17:30;9;20;19;;4;"YES - 4 standard units; support rails; seat hight 36- 40cm; non slip foor, none reflecting walls/floors, CP seat hight 47cm hoist and changing table";Y;N;Yes 24 hour;Y;Y;;N;Y;Y;"{""coordinates"": [-2.584332317762057, 51.45894030214083], ""type"": ""Point""}";51.45894030214083, -2.584332317762057
5153;The Life Boat;25 High St, Bristol;BS11 0DX;Avonmouth & Lawrence Weston;Monday - Saturday 10:00 - 23:00  Sunday 12:00 - 22:00;1;1;1;;0;None;N;N;;N;N;N;;Y;Y;"{""coordinates"": [-2.6753681789478043, 51.48900359480954], ""type"": ""Point""}";51.48900359480954, -2.6753681789478043
2;Victoria Park Public Conveniences Park Lodge;Somerset Terrace, Bristol;BS3 4LL;Windmill Hill;Winter Monday - Sunday 07:30 - 17.15. Summer 07:30 - 20:30, excluding Christmas Day;1;1;2;;1;YES - Support rail movable, Door 79cm, 126x230cm, Non reflective walls non slip floor acc locks;N;N;no;Y;;N;N;;N;"{""coordinates"": [-2.589757490670152, 51.44008663756342], ""type"": ""Point""}";51.44008663756342, -2.589757490670152
9405;The Blue Lagoon;118 - 20 Gloucester Road Bishopston Bristol;BS7 8AE;Redland;Monday to Thursday 08:30-00:00, Friday 08:30-01:30, Saturday 08:00-01:30, Sunday 09:00-00:00;2;1;3;0;0;N/A;No;No;N/A;No;0;No;No;Yes;<Null>;"{""coordinates"": [-2.593000412320437, 51.4713668958959], ""type"": ""Point""}";51.4713668958959, -2.593000412320437
9410;The Full Moon Backpacker Hotel And Attic Bar;North Street City Centre Bristol;BS1 3PR;Ashley;Monday to Thursday 12:00-00:00, Friday 12:00-02:00, Saturday 12:00-00:00, Sunday 12:00-22:30;3;2;6;0;1;Door over 1 metre, 180 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet not movable, no locking lugs, no mirror, no colour-cont;No;No;Yes - during opening times;Yes;0;No;No;No;<Null>;"{""coordinates"": [-2.5905966314230695, 51.4604464123212], ""type"": ""Point""}";51.4604464123212, -2.5905966314230695
9417;The White Lion;Passage Road, Bristol;BS9 3HN;Westbury-on-Trym & Henleaze;Monday to Sunday 11:00-23:00;2;3;3;0;1;Door over 1 metre, 150 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet are movable, no locking lugs, mirror, colour-contrastin;Yes;No;Yes - during opening times;No;1;No;Yes;No;<Null>;"{""coordinates"": [-2.617279409186638, 51.495075076424975], ""type"": ""Point""}";51.495075076424975, -2.617279409186638
8097;Underfall Yard - Near Cafe;;BS1 6XG;Hotwells & Harbourside;;;;;2;1;Open Access;;;;;;;;;;"{""coordinates"": [-2.618052915668803, 51.44701300860932], ""type"": ""Point""}";51.44701300860932, -2.618052915668803
46;St Andrews Park - Public Conveniences;Melita Road (& Effingham Road), Bristol;BS6 5AZ;Ashley;Monday - Sunday 7:30-21:00, excluding Christmas Day;1;2;3;0;1;currently vandalised closed;N;N;;Y;N;N;N;;N;"{""coordinates"": [-2.5870397331465833, 51.47401541579891], ""type"": ""Point""}";51.47401541579891, -2.5870397331465833
52;Tesco - Callington Road;Callington Road;BS4 5AY;Brislington West;Mon 8am then 24 hours until 10pm on Sats, Sun 10am - 4pm;Yes;0;Yes;0;1;YES - door width 80cm, cubicle 148cmx230cm, seat height 48 cm, no locking lugs, handrails.;N;N;Yes- during open times;N;Y;N;N;;N;"{""coordinates"": [-2.5546502332155696, 51.43247327181327], ""type"": ""Point""}";51.43247327181327, -2.5546502332155696
32;Suspension Bridge Toilets;Suspension Bridge Road, opposite toll station;BS8 3ZZ;Clifton;7 days a week Winter 08:00-20:30;;;;4;Yes;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.6252024928822473, 51.45608089540172], ""type"": ""Point""}";51.45608089540172, -2.6252024928822473
146;Mshed;Prince's Wharf, Wapping Road;BS1 4RN;Central;Tuesday-Sunday 10am-5pm also open Mondays during Bristol school holidays 10:00-17:00;3;8;3;;2;YES - 2 fully accessible, on ground floor and first floor;N;;;;Y;N;N;N;N;"{""coordinates"": [-2.597977227529359, 51.44774378867], ""type"": ""Point""}";51.44774378867, -2.597977227529359
63;Helios Medical Centre Stoke Hill;17 Stoke Hill, Bristol;BS9 1JN;Stoke Bishop;Monday 8:00-19:00, Tuesday 8:00-20:00, Wednesday 07:30-18:30, closed Thursday, Friday 08:00-18:30;0;0;0;1;1;YES - Movable support rails, Cubical 200x150, Seat height 53cm, Mirror, non slip floor;N;N;yes during opening hours;N;Y;N;N;;N;"{""coordinates"": [-2.6307518830753183, 51.475410674718354], ""type"": ""Point""}";51.475410674718354, -2.6307518830753183
73;Asda Whitchurch;Whitchurch District Centre, Oatlands Avenue;BS14 0ST;Hengrove & Whitchurch Park;"Monday 08:00-23:00; Tuesday-Friday 7.30am-11pm; Saturday 7am - 10pm; Sunday 10am - 4pm";1;2;4;;1;YES;N;N;Yes - during store opening hours;N;Y;N;N;Y;N;"{""coordinates"": [-2.5709609205500135, 51.413908084617944], ""type"": ""Point""}";51.413908084617944, -2.5709609205500135
577;V-shed (JD Weatherspoons);V Shed, Canon's Road;BS1 5UH;Hotwells & Harbourside;Monday 8:00-00:00, Tuesday 8:00-1:00, Wednesday-Friday 8:00-2:00, Saturday 8:00-3:00, Sunday 8:00-00:00;3;5;9;;1;YES - Moveable support rail, door width 29cm, cubical size 207 x 314cm, seat height 44cm, mirror, colour contrasting, non-slip floor;N;;yes;Y;Y;N;;;;"{""coordinates"": [-2.598836879506406, 51.44968847639465], ""type"": ""Point""}";51.44968847639465, -2.598836879506406
641;Ambition Lawrence Weston, Lawrence Weston Youth Centre;Lawrence Weston Road, Long Cross, Bristol;BS11 0RX;Avonmouth & Lawrence Weston;Monday to Friday 09:00-16:00 with ad-hoc additional hours;;;;;1;YES - Handrails, non slip floor, mirror;;;;;;;;;;"{""coordinates"": [-2.6538223535295566, 51.50494249175576], ""type"": ""Point""}";51.50494249175576, -2.6538223535295566
61;Sainsbury's - Clifton Down;Clifton Down Shopping Centre, Whiteladies Road;BS8 2NN;Clifton Down;COVID-19: OPEN Monday-Saturday 08:00-22:00 Sunday 11:00-17:00;2;;3;;1;YES- Cubical size 140 x 300cm, door width 103cm, height of seat 49cm.;N;N;Y - During open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.6106132208351975, 51.46400788392814], ""type"": ""Point""}";51.46400788392814, -2.6106132208351975
2417;William Budd Health Centre;Knowle Health Park, Downton Road;BS4 1WH;Filwood;08:30-18:30 Monday-Friday;2;0;2;0;1;YES - Support rails, cubicle size 200 x 150cm, door width 87cm, seat height 44cm, mirror, non reflective walls, non slip floor and accessible lock;N;Y;yes;N;Y;N;N;;Y;"{""coordinates"": [-2.5964595509628676, 51.42804682055827], ""type"": ""Point""}";51.42804682055827, -2.5964595509628676
2737;A4 Portway Park & Ride;A4 Portway, Bristol;BS11 9QE;Avonmouth & Lawrence Weston;Monday-Saturday 06:00-21:40 Sunday 09:00-18:40;;;;;1;YES - Cublical size 150-300cm, Seat height 48cm, handrails;N;N;Yes - During opperational times;N;N;N;N;N;N;"{""coordinates"": [-2.6885975209394477, 51.489985121201585], ""type"": ""Point""}";51.489985121201585, -2.6885975209394477
545;Spike Island;133 Cumberland Road, Bristol;BS1 6UX;Hotwells & Harbourside;Monday-Friday 10:00-17:00, 10:00-16:00 Saturday-Sunday;;;;5;1;YES - Separate unit to main toilets. Clean & tidy. Enough space to turn a wheelchair.;N;N;Yes - during opening hours;N;Y;N;N;Y;N;"{""coordinates"": [-2.610623238106464, 51.447037940175655], ""type"": ""Point""}";51.447037940175655, -2.610623238106464
148;Watershed;1 Cannons Road, Harbourside, Bristol;BS1 5TX;Hotwells & Harbourside;Monday-Friday 9:00-23:00, Saturday-Sunday 10:00-23:00;4;4;5;;1;YES - Movable support rail, Door width 86cm, Cubical size 170x214, Seat height 47cm, Mirror, Colour contrasting skirting, Non-slip floor;N;;yes;;Y;N;N;;N;"{""coordinates"": [-2.5980728453306603, 51.451771616223816], ""type"": ""Point""}";51.451771616223816, -2.5980728453306603
9081;The Royal Oak;383 - 385 Gloucester Road Horfield Bristol;BS7 8TN;Bishopston & Ashley Down;Mon - Sun;3;2;5;0;1;;No;No;No;No;1;No;Yes;No;;"{""coordinates"": [-2.586716517108724, 51.48343973181093], ""type"": ""Point""}";51.48343973181093, -2.586716517108724
8417;;;BS5 7AA;St George West;Daily: 8am to 6pm;;;;3;1;;N;;;;Y;;;;;"{""coordinates"": [-2.549397730367083, 51.461314956204134], ""type"": ""Point""}";51.461314956204134, -2.549397730367083
9394;Coffee#1 Bedminster;247 - 249 North Street Bedminster Bristol;BS3 1JN;Southville;Monday to Friday 07:00 to 18:00 Saturday 08:00 to 18:00 Sunday 08:30 to 17:00;0;0;0;1;1;Door less than 1 metre, 230 x 150 cubicle, seat height 50cm, movable support rails by toilet and basin, no locking lugs on seat, miroor, no colour con;No;No;Yes - during opening times;No;Yes;No;No;Yes;Yes;"{""coordinates"": [-2.6127547793075583, 51.44145612692217], ""type"": ""Point""}";51.44145612692217, -2.6127547793075583
9400;Industry Bar and Kitchen;141 Gloucester Road Bishopston Bristol;BS7 8BA;Ashley;Monday CLOSED, Tuesday to Friday 16:00-23:00, Saturday 12:00-00:00, Sunday 12:00-21:00;3;2;2;0;0;N/A;No;N/A;<Null>;No;2;No;No;Yes;<Null>;"{""coordinates"": [-2.591150610923428, 51.47374169307332], ""type"": ""Point""}";51.47374169307332, -2.591150610923428
9385;The Kingsdown Vaults;29-31 Kingsdown Parade, Bristol;BS6 5UE;Cotham;Monday to Friday 16:00-00:00, Friday 12:00-00:00, Saturday 16:00-00:00, Sunday 16:00-22:30;1;1;1;0;0;N/A;No;No;N/A;No;0;No;Yes;No;;"{""coordinates"": [-2.5967351290482643, 51.46175054851016], ""type"": ""Point""}";51.46175054851016, -2.5967351290482643
9386;The Rising Sun;Alfred Road, Bedminster, Bristol;BS3 4LE;Windmill Hill;Monday to Thursday 16:00-23:00, Friday & Saturday 13:00-23:00, Sunday 13:00-22:00;0;0;0;2;0;N/A;No;No;N/A;No;1;No;Yes;No;;"{""coordinates"": [-2.5937164466990463, 51.43872003776636], ""type"": ""Point""}";51.43872003776636, -2.5937164466990463
9388;The Star and Dove;75-78 St Luke's Road, TotteRoadown, Bristol;BS3 4RY;Windmill Hill;Monday & Tuesday CLOSED, Wednesday to Saturday 12:00-23:00, Sunday 12:00-17:00;1;3;1;0;1;Door over 1 metre, 200 x 150 cubicle, seat height 50cm, no hand rails, seat has locking lugs, mirror, no colour-contrasting skirting, wall and floor a;No;No;Yes - during opening times;No;0;No;Yes;No;;"{""coordinates"": [-2.5821730058562533, 51.441443183894926], ""type"": ""Point""}";51.441443183894926, -2.5821730058562533
9407;The Burger Joint;240 North Street Bedminster Bristol;BS3 1JD;Southville;Monday to Thursday 12:00-22:00, Friday & Saturday 12:00-22:30, Sunday 12:00-22:00;0;0;0;2;1;Door less than 1 metre, 190 x 130 cubicle, seat height 40cm, no support rails, seat does not have locking lugs, mirror, colour-contrasting skirting, n;No;No;No;No;1;No;Yes;No;<Null>;"{""coordinates"": [-2.611777998890326, 51.44130634139977], ""type"": ""Point""}";51.44130634139977, -2.611777998890326
29;Sea Walls Public Toilets;Circular Road By Sea Walls viewing Area;BS9 1ZZ;Stoke Bishop;Monday - Saunday  7:30-18:00;2;1;3;;Yes;Door size 100cm. Movable supportrails, Cubical size 200- 210cm. Seat height 49cm;N;N;N;Y;Y;N;N;N;N;"{""coordinates"": [-2.635545426921134, 51.47014254948864], ""type"": ""Point""}";51.47014254948864, -2.635545426921134
84;JD Weatherspoon - Van Dyck Forum;Van Dyck Forum, 748-756 Fishponds Road;BS16 3UA;Frome Vale;Sunday - Thursday 08:00 - 00:00. Friday - Saturday 08:00- 01:00.;3;6;6;;1;YES - Cubical size 200x140cm, Seat height 49cm, Handrails;N;N;Yes- during open times;Y;Y;N;N;;N;"{""coordinates"": [-2.5302377493507757, 51.47957671971242], ""type"": ""Point""}";51.47957671971242, -2.5302377493507757
9421;St Pauls Community Sports Academy;St Pauls Community Sports Academy Newfoundland Road Bristol;BS2 9NH;Ashley;;;;;1;1;;;;;;;;;;;"{""coordinates"": [-2.5803540185457376, 51.462334943841135], ""type"": ""Point""}";51.462334943841135, -2.5803540185457376
90;Stonehouse Pizza and Carvery;Henbury Arms 189 Henbury Road;BS10 7AD;Henbury & Brentry;Monday - Sunday  08:00 - 22:00;2;5;2;0;1;YES - Cubical size 200x140cm. Seat height 48cm. Handrails.;N;N;Yes - During opentimes;N;N;N;N;Y;Y;"{""coordinates"": [-2.628406413865323, 51.50595866709737], ""type"": ""Point""}";51.50595866709737, -2.628406413865323
115;The Greenway Centre, The Southmead Development Trust;The Greenway Centre, Doncaster Road;BS10 5PY;Southmead;Mon-Fri 8am-10pm, Sat-Sun 9am - 5pm;1;3;4;0;1;Yes - has disabled shower in the unit;N;N;Yes - while open;N;Y;N;N;Y;Y;"{""coordinates"": [-2.608793382751279, 51.49948627978974], ""type"": ""Point""}";51.49948627978974, -2.608793382751279
141;Bishopston Library;Bishopston Library, Gloucester Road, Bishopston, Bristol;BS7 8BN;Redland;1pm-7pm Monday, 11am-5pm Wednesday, Thursday, Friday and Saturday;;;;1;1;Level access entry, automatic opening doors, accessible lift to first floor, accessible toilet.;N;;;;;N;N;N;N;"{""coordinates"": [-2.591437740486952, 51.475145408200945], ""type"": ""Point""}";51.475145408200945, -2.591437740486952
4481;Air Balloon Surgery;Kenn Road, St George, Bristol;BS5 7PD;St George Central;Monday-Friday 08:00-18:30;1;;1;;1;YES - Door 90cm. Cubical 240x180cm. Seat height 46cm, handrails;N;N;Yes during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.5324682980792033, 51.4589358738141], ""type"": ""Point""}";51.4589358738141, -2.5324682980792033
1633;The Jersey Lily;193 Whiteladies Road, Bristol;BS8 2SB;Clifton Down;Monday-Wedensday 11:00-23:00, Thurs- Saturday 11:00-00:00, Sunday 12:00-23:00;1;3;1;;0;NONE;;;;;;;;;;"{""coordinates"": [-2.614014473803497, 51.46950229652369], ""type"": ""Point""}";51.46950229652369, -2.614014473803497
3473;Campus Pool;Whitchurch Road, Bishopsworth;BS13 7RW;Bishopsworth;Monday-Thursday 10:00-21:00, Friday and Saturday 10:00-18:00;;;;;1;YES - Support Rail movable, Cubicale size 234x308, Door width 90, Seat height 48cm;;;;;;;;;;"{""coordinates"": [-2.6171396380793395, 51.415985114521185], ""type"": ""Point""}";51.415985114521185, -2.6171396380793395
8749;Bristol South Swimming Pool;Dean Lane, Southville, Bristol;BS3 1BS;Southville;Monday 07:30-20:00, Tuesday 07:30-19:00, Wednesday 07:30-20:00, Thursday 07:30-20:15, Friday 07:30-18:00, Saturday & Sunday 08:00-15:45;1;0;1;0;1;Door over 1 metre, 300 x 300 cubicle, seat height 48cm, support rails by hand basin and toilet not movable, no locking lugs, mirror, colour-contrastin;No;No;Yes - during opening times;No;1;No;Yes;No;;"{""coordinates"": [-2.6008106970624536, 51.442127451681266], ""type"": ""Point""}";51.442127451681266, -2.6008106970624536
8752;Filwood Community Centre;Barnstaple Road, Bristol;BS4 1JP;Filwood;Monday to Friday 09:00-17:00, CLOSED WEEKENDS;1;4;2;0;1;Door less than 1 metre, 210 x 310 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, mirror, colour-contrast;No;No;Yes - during opening times;Yes;1;No;Yes;Yes;;"{""coordinates"": [-2.5863488510251753, 51.425694531328055], ""type"": ""Point""}";51.425694531328055, -2.5863488510251753
9380;Kingsdown Sports Centre;Portland Street, Bristol;BS2 8HL;Cotham;Monday to Friday 07:00-22:00, Saturday 08:00-18:00, Sunday 09:00-22:00;1;1;4;0;1;Door over 1 metre, 400 x 155 cubicle, seat height 49cm, hand rials by toilet and hand basin not movable, no locking lugs, mirror, colour-contrasting s;No;No;Yes - during opening times;No;1;No;No;No;;"{""coordinates"": [-2.5985558683338956, 51.46231974792028], ""type"": ""Point""}";51.46231974792028, -2.5985558683338956
9381;Mezzaluna;81 West Street, Bedminster, Bristol;BS3 3NU;Bedminster;Monday 11:00-22:00, Tuesday to Saturday 11:00-23:00, Sunday 11:00-21:00;0;0;0;2;1;Door over 1 metre, 175 x 175 cubicle, seat height 47cm, hand rails by toilet and hand basin movable,  no locking lugs, mirror, no colour-contrasting s;No;No;Yes - during opening times;No;1;No;Yes;No;;"{""coordinates"": [-2.6032387157044052, 51.438019200489386], ""type"": ""Point""}";51.438019200489386, -2.6032387157044052
9382;Pizzeria Milano;266 Charlton Road, Bristol;BS15 1LS;Hillfields;Monday to Sunday 14:00-22:00;0;0;0;1;0;N/A;No;No;N/A;No;0;No;Yes;No;;"{""coordinates"": [-2.520123603523638, 51.47024369655738], ""type"": ""Point""}";51.47024369655738, -2.520123603523638
9389;The Yeoman;700 Wells Road, Whitchurch, Bristol;BS14 9HX;Stockwood;Monday to Thursday 12:00-23:00, Friday & Saturday 12:00-00:00, Sunday 12:00-23:00;3;4;3;0;1;Door less than 1 metre, 220 x 150 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, no mirror, colour-contr;No;No;Yes - during opening times;Yes;1;No;Yes;No;;"{""coordinates"": [-2.559290159411997, 51.41351192872558], ""type"": ""Point""}";51.41351192872558, -2.559290159411997
9403;Spicer + Cole Clifton;9 Princess Victoria Street Bristol;BS8 4BX;Clifton;Monday to Friday 09:00-17:00,  Saturday & Sunday 8:30-17:00;0;0;0;2;0;N/A;No;No;N/A;No;1;No;No;No;<Null>;"{""coordinates"": [-2.6194138160885183, 51.45465227528023], ""type"": ""Point""}";51.45465227528023, -2.6194138160885183
9404;Steam;Steam Clifton Down Station Whiteladies Gate Bristol;BS8 2PN;Clifton Down;Monday to Wednesday 15:00-23:00, Thursday & Friday 15:00-00:00, Saturday 12:00-00:00, Sunday 13:00-22:00;3;2;8;0;0;N/A;No;No;N/A;No;No;No;No;No;<Null>;"{""coordinates"": [-2.611410964098844, 51.464552886383785], ""type"": ""Point""}";51.464552886383785, -2.611410964098844
9411;The Gallimaurfry;26 Gloucester Road Bishopston Bristol;BS7 8AE;Redland;Monday to Saturday 11L00-23:30, Sunday 12:00-23:30;1;2;2;0;0;N/A;No;No;N/A;No;1;No;No;No;<Null>;"{""coordinates"": [-2.5928339789084554, 51.47171533825465], ""type"": ""Point""}";51.47171533825465, -2.5928339789084554
9418;Two Ways Caffe Bar;10 Queens Avenue Bristol;BS8 1SB;Central;Monday to Friday 08:00 -16:30, Saturday 11:00-16:30, CLOSED SUNDAY;0;0;0;1;0;N/A;No;No;N/A;No;0;No;Yes;No;<Null>;"{""coordinates"": [-2.6075429826426113, 51.45773949920542], ""type"": ""Point""}";51.45773949920542, -2.6075429826426113
9414;The Old Stillage;The Old Stillage Church Road Redfield Bristol;BS5 9LA;Easton;Monday 14:00-23:00, Tuesday & Wednesday 14:00-23:30, Thursday 14:00-00:30, Friday & Saturday 14:00-01:30, Sunday 12:30-23:30;1;3;1;0;1;Door over 1 metre, 200 x 18- cubicle, seat height 45 cm, support rails by hand basin and toilet are movable, seat has locking lugs, mirror, colour-con;No;No;Yes - during opening times;No;1;No;No;No;<Null>;"{""coordinates"": [-2.558109112622046, 51.458766400289385], ""type"": ""Point""}";51.458766400289385, -2.558109112622046
